"ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted","Date"
510.140014648438,510.140014648438,502.010009765625,506.299987792969,2375400,506.299987792969,2023-09-26
507.510009765625,509.25,498.700012207031,502.600006103516,3311100,502.600006103516,2023-09-27
500,508.679992675781,499.25,504.670013427734,2720000,504.670013427734,2023-09-28
505.440002441406,518.580017089844,505.440002441406,509.899993896484,2796300,509.899993896484,2023-09-29
508.239990234375,522.409973144531,508.239990234375,521.130004882812,2411500,521.130004882812,2023-10-02
517.52001953125,520.489990234375,504.549987792969,507.029998779297,2004100,507.029998779297,2023-10-03
511.929992675781,519.760009765625,510,518.419982910156,2027200,518.419982910156,2023-10-04
519.840026855469,522.609985351562,509.239990234375,516.440002441406,1818800,516.440002441406,2023-10-05
513.219970703125,531.309997558594,509.519989013672,526.679992675781,2526300,526.679992675781,2023-10-06
522,530,518.75,529.289978027344,1713500,529.289978027344,2023-10-09
530.909973144531,537,530.400024414062,532.719970703125,2090900,532.719970703125,2023-10-10
538.590026855469,551.340026855469,536.109985351562,549.909973144531,3307500,549.909973144531,2023-10-11
553.700012207031,574.400024414062,552.22998046875,559.630004882812,4624000,559.630004882812,2023-10-12
560,562.890014648438,546.989990234375,548.760009765625,2832600,548.760009765625,2023-10-13
553.179992675781,555.570007324219,545.690002441406,550.739990234375,2179700,550.739990234375,2023-10-16
545.409973144531,560.799987792969,543.340026855469,560.090026855469,2355300,560.090026855469,2023-10-17
554.47998046875,568.179992675781,554.239990234375,557.869995117188,2614500,557.869995117188,2023-10-18
560,567.099975585938,553.469970703125,555.739990234375,2809300,555.739990234375,2023-10-19
555.739990234375,555.97998046875,535.950012207031,540.960021972656,2729200,540.960021972656,2023-10-20
535.809997558594,548.030029296875,531,540.409973144531,2172600,540.409973144531,2023-10-23
544.640014648438,546,532.119995117188,539.559997558594,2358100,539.559997558594,2023-10-24
533.559997558594,534.460021972656,517.630004882812,521.140014648438,2526000,521.140014648438,2023-10-25
530,530.989990234375,511.679992675781,514.280029296875,2876700,514.280029296875,2023-10-26
517.5,519.859985351562,506.920013427734,508.119995117188,2985600,508.119995117188,2023-10-27
516.109985351562,530.75,512.239990234375,526.940002441406,2806900,526.940002441406,2023-10-30
530.640014648438,532.640014648438,522.809997558594,532.059997558594,2052300,532.059997558594,2023-10-31
535,545.27001953125,534,544.5,2644500,544.5,2023-11-01
550.440002441406,559.359985351562,550,558.710021972656,2634800,558.710021972656,2023-11-02
560,567.030029296875,557.659973144531,563.659973144531,2066300,563.659973144531,2023-11-03
566,567.880004882812,558.169982910156,565.450012207031,2593400,565.450012207031,2023-11-06
568.809997558594,589,568.809997558594,585.200012207031,3993600,585.200012207031,2023-11-07
589,595.669982910156,581.070007324219,585.309997558594,3079200,585.309997558594,2023-11-08
587.510009765625,590.039978027344,576.340026855469,577.739990234375,2336600,577.739990234375,2023-11-09
580.489990234375,598.140014648438,576.010009765625,597.219970703125,3062700,597.219970703125,2023-11-10
589.97998046875,594.260009765625,583.359985351562,590.340026855469,2505100,590.340026855469,2023-11-13
601.559997558594,613.710021972656,599.039978027344,604.330017089844,2884900,604.330017089844,2023-11-14
605,605.72998046875,591.789978027344,595.309997558594,3088900,595.309997558594,2023-11-15
595.450012207031,605.27001953125,592.140014648438,602.059997558594,2040400,602.059997558594,2023-11-16
602.070007324219,605.049987792969,597.02001953125,602.659973144531,1968500,602.659973144531,2023-11-17
605.309997558594,614.200012207031,604.5,612.700012207031,2393900,612.700012207031,2023-11-20
610.630004882812,615.570007324219,607.030029296875,610.989990234375,1906200,610.989990234375,2023-11-21
616.630004882812,624.380004882812,614.010009765625,619.719970703125,2064400,619.719970703125,2023-11-22
616.260009765625,619.440002441406,613.599975585938,619.429992675781,942700,619.429992675781,2023-11-24
618.799987792969,625.830017089844,614.570007324219,619.27001953125,1854400,619.27001953125,2023-11-27
613.97998046875,625.599975585938,612.260009765625,623.320007324219,2302900,623.320007324219,2023-11-28
625.940002441406,628.599975585938,616.77001953125,617.390014648438,2595600,617.390014648438,2023-11-29
620,621.47998046875,605.070007324219,611.010009765625,3960300,611.010009765625,2023-11-30
609.239990234375,615.200012207031,603.179992675781,612.469970703125,2490500,612.469970703125,2023-12-01
604.909973144531,608.289978027344,596.210021972656,604.559997558594,2541500,604.559997558594,2023-12-04
596.77001953125,602.739990234375,591.169982910156,602.219970703125,2577700,602.219970703125,2023-12-05
608.059997558594,608.530029296875,594.489990234375,595.700012207031,2080400,595.700012207031,2023-12-06
598.919982910156,609.22998046875,596.469970703125,608.780029296875,2605200,608.780029296875,2023-12-07
605,610.22998046875,601.299987792969,610.010009765625,2499700,610.010009765625,2023-12-08
616.880004882812,627.820007324219,614.340026855469,625.200012207031,3270600,625.200012207031,2023-12-11
625.859985351562,633.890014648438,623,633.659973144531,2968900,633.659973144531,2023-12-12
630.409973144531,632.450012207031,618.030029296875,624.260009765625,6188500,624.260009765625,2023-12-13
593,593.159973144531,578.299987792969,584.640014648438,11315300,584.640014648438,2023-12-14
580.599975585938,591.659973144531,578.200012207031,584.679992675781,8666500,584.679992675781,2023-12-15
591.52001953125,603.130004882812,586.619995117188,599.130004882812,5452000,599.130004882812,2023-12-18
600,612.710021972656,598.080017089844,604.640014648438,4150700,604.640014648438,2023-12-19
600.710021972656,610.679992675781,595.070007324219,596.059997558594,2587300,596.059997558594,2023-12-20
603,607.400024414062,594.820007324219,600.140014648438,3192800,600.140014648438,2023-12-21
600.799987792969,601.859985351562,596,598.75,1660600,598.75,2023-12-22
