"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
262.450012207031,264.799987792969,260.649993896484,263.950012207031,59990,263.950012207031,2025-03-03
262.049987792969,262.100006103516,258.049987792969,258.350006103516,37864,258.350006103516,2025-03-04
260.700012207031,262.850006103516,260.5,260.549987792969,36385,260.549987792969,2025-03-05
261.75,261.950012207031,258.649993896484,260.649993896484,20972,260.649993896484,2025-03-06
259.450012207031,260.5,258.200012207031,259.549987792969,27720,259.549987792969,2025-03-07
260.25,260.600006103516,255.899993896484,256.25,26301,256.25,2025-03-10
255.899993896484,256.5,251.449996948242,251.850006103516,36727,251.850006103516,2025-03-11
253.699996948242,255.550003051758,252.75,254.199996948242,28115,254.199996948242,2025-03-12
254.050003051758,255.5,253,253.649993896484,30618,253.649993896484,2025-03-13
253.600006103516,256.75,253.600006103516,256.549987792969,15950,256.549987792969,2025-03-14
256.850006103516,258.700012207031,256.700012207031,258.700012207031,27311,258.700012207031,2025-03-17
259.5,260.850006103516,259.25,260.149993896484,29012,260.149993896484,2025-03-18
259.649993896484,260.950012207031,259.25,260.600006103516,15777,260.600006103516,2025-03-19
260.649993896484,261.200012207031,258.100006103516,259.350006103516,19616,259.350006103516,2025-03-20
258.399993896484,258.75,256.700012207031,257.850006103516,13564,257.850006103516,2025-03-21
259.75,259.75,257.049987792969,257.700012207031,10049,257.700012207031,2025-03-24
258.700012207031,260.5,258.100006103516,259.450012207031,7236,259.450012207031,2025-03-25
258.950012207031,258.950012207031,257.5,257.700012207031,6573,257.700012207031,2025-03-26
255.899993896484,257.149993896484,255.199996948242,256.799987792969,7654,256.799987792969,2025-03-27
256.399993896484,257,254.149993896484,254.899993896484,7551,254.899993896484,2025-03-28
252.699996948242,252.699996948242,250.149993896484,251.199996948242,7717,251.199996948242,2025-03-31
253.300003051758,254.350006103516,252.199996948242,253.850006103516,30361,253.850006103516,2025-04-01
253.050003051758,253.050003051758,250.800003051758,252.699996948242,4291,252.699996948242,2025-04-02
248.199996948242,249.75,245.399993896484,245.949996948242,27544,245.949996948242,2025-04-03
243.600006103516,244.300003051758,231.649993896484,233.399993896484,27064,233.399993896484,2025-04-04
231,231.699996948242,218.199996948242,224.399993896484,32065,224.399993896484,2025-04-07
226.800003051758,231.800003051758,224.600006103516,229.449996948242,54327,229.449996948242,2025-04-08
223.600006103516,225.100006103516,218.75,221.149993896484,33505,221.149993896484,2025-04-09
240.149993896484,240.25,229.600006103516,229.600006103516,32202,229.600006103516,2025-04-10
231.600006103516,231.699996948242,226.399993896484,229.600006103516,14511,229.600006103516,2025-04-11
234.199996948242,236.600006103516,233.050003051758,235.850006103516,25390,235.850006103516,2025-04-14
237.449996948242,239.850006103516,236.850006103516,239.699996948242,36028,239.699996948242,2025-04-15
237.850006103516,239.399993896484,236.350006103516,239.350006103516,16665,239.350006103516,2025-04-16
238.800003051758,239.300003051758,237.449996948242,238.550003051758,8507,238.550003051758,2025-04-17
238,240.050003051758,237.350006103516,240.050003051758,8702,240.050003051758,2025-04-22
244,245.449996948242,242.800003051758,244,10487,244,2025-04-23
243.600006103516,245.350006103516,242.5,245.300003051758,18933,245.300003051758,2025-04-24
