"GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted","Date"
285.529998779297,286.350006103516,277.5,283.040008544922,4575000,252.585510253906,2021-01-25
283.929992675781,285.769989013672,280.079986572266,281.760009765625,3296800,251.443267822266,2021-01-26
276,277.369995117188,271.320007324219,273.329986572266,3891800,243.920364379883,2021-01-27
274.609985351562,279.829986572266,271.329986572266,275.019989013672,3778700,245.428466796875,2021-01-28
274.269989013672,277.399993896484,270.619995117188,271.170013427734,3412000,241.992767333984,2021-01-29
272.660003662109,276.799987792969,272,274.730010986328,2324100,245.169677734375,2021-02-01
278.320007324219,288.25,278,286.970001220703,5195500,256.092742919922,2021-02-02
286.609985351562,289.809997558594,285.179992675781,288.549987792969,2712800,257.502716064453,2021-02-03
290,295.829986572266,289.519989013672,293.75,2994700,262.143218994141,2021-02-04
295,297.239990234375,292.190002441406,293.5,2938100,261.920104980469,2021-02-05
295,300.890014648438,294.5,300.149993896484,2826200,267.854522705078,2021-02-08
299.600006103516,302.450012207031,297.700012207031,300.459991455078,2071700,268.131286621094,2021-02-09
300,305.179992675781,297.75,304.279998779297,3213700,271.540161132812,2021-02-10
303.980010986328,305.010009765625,299.170013427734,302.320007324219,2159900,269.791076660156,2021-02-11
301.989990234375,306.700012207031,301.769989013672,306.320007324219,1977300,273.360717773438,2021-02-12
310,312.920013427734,309.220001220703,311.959991455078,2792200,278.393859863281,2021-02-16
310.029998779297,314.980010986328,308.760009765625,312.739990234375,2333100,279.089904785156,2021-02-17
309.220001220703,314.5,307.579986572266,309.899993896484,2093300,276.555511474609,2021-02-18
310.230010986328,316.779998779297,310.230010986328,315.619995117188,2749500,281.660003662109,2021-02-19
313,320.559997558594,312.209991455078,316.869995117188,3162300,282.775634765625,2021-02-22
317.980010986328,320,310.579986572266,319.209991455078,2942500,284.863708496094,2021-02-23
320.170013427734,330.970001220703,320.100006103516,330.640014648438,3934400,295.063903808594,2021-02-24
333.329986572266,335.809997558594,326.290008544922,327.760009765625,4244000,292.493743896484,2021-02-25
325.769989013672,328.679992675781,319.040008544922,319.480010986328,3732200,285.104675292969,2021-02-26
325,331.040008544922,323.309997558594,329.920013427734,2957800,295.577819824219,2021-03-01
330,336.190002441406,329.510009765625,330.940002441406,2850300,296.49169921875,2021-03-02
333.679992675781,340.100006103516,333.25,334.429992675781,3606300,299.618469238281,2021-03-03
333.130004882812,339.760009765625,323.920013427734,329.290008544922,3647600,295.013397216797,2021-03-04
335.579986572266,335.579986572266,316.459991455078,327.369995117188,3740200,293.293273925781,2021-03-05
331.359985351562,337.589996337891,329.100006103516,334.190002441406,2998000,299.403381347656,2021-03-08
328.619995117188,336.390014648438,325.570007324219,330.589996337891,3324800,296.178161621094,2021-03-09
332.070007324219,342.399993896484,331.529998779297,342.019989013672,3153100,306.418304443359,2021-03-10
338.660003662109,345,336.459991455078,342.100006103516,2756600,306.490051269531,2021-03-11
345.220001220703,350,343.640014648438,348.809997558594,2436700,312.501525878906,2021-03-12
349.440002441406,352.420013427734,342,346.049987792969,2276200,310.028839111328,2021-03-15
345.279998779297,346.899993896484,337.75,341.709991455078,2332600,306.140533447266,2021-03-16
344.619995117188,347.029998779297,340.399993896484,344.950012207031,2710900,309.043426513672,2021-03-17
350.75,356.850006103516,346.989990234375,348,3713000,311.77587890625,2021-03-18
346.420013427734,347.239990234375,340.630004882812,344.200012207031,3513000,308.371429443359,2021-03-19
341.059997558594,342.880004882812,336,339.329986572266,2094500,304.008361816406,2021-03-22
337.619995117188,341.890014648438,331.329986572266,331.769989013672,2457500,297.235290527344,2021-03-23
333.420013427734,336.940002441406,328.440002441406,328.649993896484,3332200,294.440032958984,2021-03-24
327.350006103516,331.390014648438,321.920013427734,330.549987792969,2804700,296.142272949219,2021-03-25
334.510009765625,335.450012207031,322.690002441406,327.390014648438,3082600,293.311218261719,2021-03-26
