"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
255.610000610352,255.710006713867,255.070007324219,255.210006713867,4558,255.210006713867,2020-09-23
255.410003662109,255.580001831055,255.020004272461,255.149993896484,800,255.149993896484,2020-09-24
255.25,255.649993896484,254.880004882812,255.649993896484,2852,255.649993896484,2020-09-25
255.309997558594,255.440002441406,254.880004882812,255.440002441406,2112,255.440002441406,2020-09-28
255.580001831055,255.690002441406,255.419998168945,255.729995727539,514,255.729995727539,2020-09-29
255.600006103516,255.880004882812,255.119995117188,255.119995117188,1875,255.119995117188,2020-09-30
255.229995727539,255.380004882812,255.070007324219,255.520004272461,1479,255.520004272461,2020-10-01
255.910003662109,256.109985351562,255.740005493164,255.830001831055,1264,255.830001831055,2020-10-02
255.910003662109,256.019989013672,255.190002441406,255.580001831055,2658,255.580001831055,2020-10-05
255.240005493164,255.830001831055,255.240005493164,255.630004882812,3095,255.630004882812,2020-10-06
255.679992675781,255.839996337891,255.210006713867,255.449996948242,1763,255.449996948242,2020-10-07
255.690002441406,255.970001220703,255.550003051758,256.029998779297,1121,256.029998779297,2020-10-08
256.25,256.660003662109,256.170013427734,256.299987792969,2178,256.299987792969,2020-10-09
256.540008544922,257.019989013672,256.540008544922,257.019989013672,1797,257.019989013672,2020-10-12
257.079986572266,257.279998779297,256.839996337891,257.140014648438,3635,257.140014648438,2020-10-13
257.350006103516,257.709991455078,257.329986572266,257.459991455078,4137,257.459991455078,2020-10-14
257.809997558594,258.049987792969,257.540008544922,257.709991455078,1017,257.709991455078,2020-10-15
257.730010986328,258.279998779297,257.619995117188,257.880004882812,1308,257.880004882812,2020-10-16
257.760009765625,257.890014648438,257.290008544922,257.609985351562,2202,257.609985351562,2020-10-19
257.559997558594,257.559997558594,257.049987792969,257.059997558594,1044,257.059997558594,2020-10-20
256.940002441406,257.299987792969,256.679992675781,256.850006103516,3503,256.850006103516,2020-10-21
256.700012207031,256.910003662109,256.059997558594,256.269989013672,1656,256.269989013672,2020-10-22
256.510009765625,256.630004882812,256.100006103516,256.630004882812,7014,256.630004882812,2020-10-23
257.070007324219,257.119995117188,256.600006103516,256.850006103516,1368,256.850006103516,2020-10-26
256.869995117188,257.510009765625,256.730010986328,257.510009765625,2131,257.510009765625,2020-10-27
257.369995117188,257.75,257.02099609375,257.339996337891,1441,257.339996337891,2020-10-28
257.089996337891,257.910003662109,257.089996337891,257.910003662109,4025,257.910003662109,2020-10-29
257.75,257.980010986328,257.570007324219,257.779998779297,974,257.779998779297,2020-10-30
257.600006103516,257.86669921875,257.369995117188,257.910003662109,986,257.910003662109,2020-11-02
257.739990234375,258.010009765625,257.519989013672,257.779998779297,1884,257.779998779297,2020-11-03
258.5,258.859985351562,258.149993896484,258.309997558594,1510,258.309997558594,2020-11-04
258.649993896484,258.769989013672,258.170013427734,258.309997558594,2898,258.309997558594,2020-11-05
258.649993896484,258.679992675781,258.100006103516,258.209991455078,1386,258.209991455078,2020-11-06
258.549987792969,258.839996337891,255.839996337891,255.839996337891,3893,255.839996337891,2020-11-09
255.940002441406,256.170013427734,255.550003051758,255.770004272461,1593,255.770004272461,2020-11-10
255.660003662109,256.559997558594,255.339996337891,256.209991455078,8864,256.209991455078,2020-11-11
256.440002441406,257,256.399993896484,256.940002441406,1892,256.940002441406,2020-11-12
257.269989013672,257.640014648438,257.079986572266,257.440002441406,4507,257.440002441406,2020-11-13
257.559997558594,257.950012207031,256.390014648438,257.679992675781,4373,257.679992675781,2020-11-16
257.559997558594,258.119995117188,257.559997558594,257.940002441406,2717,257.940002441406,2020-11-17
258.279998779297,258.279998779297,257.799987792969,257.929992675781,1135,257.929992675781,2020-11-18
258.049987792969,258.179992675781,257.880004882812,258.160003662109,5606,258.160003662109,2020-11-19
258.160003662109,258.269989013672,258.049987792969,258.269989013672,2502,258.269989013672,2020-11-20
258.320007324219,258.320007324219,257.859985351562,258.130004882812,1488,258.130004882812,2020-11-23
257.920013427734,258.25,257.850006103516,258.059997558594,4856,258.059997558594,2020-11-24
257.739990234375,258.209991455078,257.739990234375,258.149993896484,1969,258.149993896484,2020-11-25
258.070007324219,258.410003662109,258.049987792969,258.369995117188,1216,258.369995117188,2020-11-26
258.510009765625,258.510009765625,258.170013427734,258.410003662109,1534,258.410003662109,2020-11-27
258.410003662109,258.75,257.980010986328,257.980010986328,1871,257.980010986328,2020-11-30
258.170013427734,258.190002441406,256.839996337891,256.980010986328,8784,256.980010986328,2020-12-01
256.920013427734,257.160003662109,256.850006103516,257.160003662109,5419,257.160003662109,2020-12-02
257.140014648438,257.820007324219,257.089996337891,257.820007324219,2458,257.820007324219,2020-12-03
257.820007324219,258,257.399993896484,257.529998779297,4453,257.529998779297,2020-12-04
258.269989013672,258.299987792969,257.779998779297,257.779998779297,3332,257.779998779297,2020-12-07
258.100006103516,258.399993896484,258.100006103516,258.690002441406,802,258.690002441406,2020-12-08
258.529998779297,258.700012207031,258.369995117188,258.649993896484,1721,258.649993896484,2020-12-09
258.820007324219,259.220001220703,258.190002441406,258.679992675781,1463,258.679992675781,2020-12-10
259.130004882812,259.410003662109,259.019989013672,259.369995117188,14946,259.369995117188,2020-12-11
259.100006103516,259.820007324219,258.790008544922,259.820007324219,2189,259.820007324219,2020-12-14
259.220001220703,259.399993896484,259.089996337891,259.160003662109,1775,259.160003662109,2020-12-15
258.929992675781,258.970001220703,258.089996337891,258.390014648438,2014,258.390014648438,2020-12-16
258.670013427734,258.940002441406,258.529998779297,258.480010986328,1912,258.480010986328,2020-12-17
258.070007324219,258.589996337891,257.859985351562,258.339996337891,638,258.339996337891,2020-12-18
258.920013427734,259.109985351562,258.309997558594,258.309997558594,1397,258.309997558594,2020-12-21
258.670013427734,258.670013427734,258.130004882812,258.600006103516,2407,258.600006103516,2020-12-22
258.660003662109,258.660003662109,257.690002441406,257.679992675781,1177,257.679992675781,2020-12-23
258.140014648438,258.260009765625,257.820007324219,258.260009765625,1317,258.260009765625,2020-12-28
258.260009765625,258.519989013672,258.149993896484,258.480010986328,1652,258.480010986328,2020-12-29
258.179992675781,258.450012207031,257.910003662109,258.290008544922,1115,258.290008544922,2020-12-30
257.980010986328,258.910003662109,257.980010986328,258.739990234375,1178,258.739990234375,2021-01-04
258.690002441406,258.820007324219,258.459991455078,258.429992675781,933,258.429992675781,2021-01-05
257.649993896484,258,257.649993896484,257.910003662109,320,257.910003662109,2021-01-06
257.950012207031,258.299987792969,257.799987792969,257.799987792969,1433,257.799987792969,2021-01-07
258.410003662109,258.519989013672,258.079986572266,258.320007324219,2545,258.320007324219,2021-01-08
258.420013427734,258.420013427734,257.480010986328,257.480010986328,1045,257.480010986328,2021-01-11
257.299987792969,257.299987792969,256.369995117188,256.489990234375,2065,256.489990234375,2021-01-12
257.089996337891,257.839996337891,256.970001220703,257.540008544922,781,257.540008544922,2021-01-13
257.720001220703,257.880004882812,257.459991455078,257.790008544922,1225,257.790008544922,2021-01-14
257.850006103516,257.850006103516,257.200012207031,257.720001220703,9574,257.720001220703,2021-01-15
257.760009765625,257.760009765625,256.989990234375,257.170013427734,2834,257.170013427734,2021-01-18
257.320007324219,257.799987792969,257.179992675781,257.559997558594,4175,257.559997558594,2021-01-19
257.540008544922,257.730010986328,257.290008544922,257.380004882812,2241,257.380004882812,2021-01-20
257.410003662109,257.549987792969,256.25,256.369995117188,4669,256.369995117188,2021-01-21
256.369995117188,256.559997558594,256.170013427734,256.380004882812,2249,256.380004882812,2021-01-22
256.5,257.700012207031,256.5,257.700012207031,1357,257.700012207031,2021-01-25
257.700012207031,257.700012207031,257.109985351562,257.209991455078,1827,257.209991455078,2021-01-26
257.019989013672,257.450012207031,257.019989013672,257.190002441406,2496,257.190002441406,2021-01-27
257.619995117188,257.630004882812,256.579986572266,256.579986572266,1815,256.579986572266,2021-01-28
