"SGLD.MI.Open","SGLD.MI.High","SGLD.MI.Low","SGLD.MI.Close","SGLD.MI.Volume","SGLD.MI.Adjusted","Date"
190.770004272461,191.619995117188,190.449996948242,191.539993286133,15331,191.539993286133,2024-03-13
191.320007324219,191.5,190.800003051758,191.449996948242,15550,191.449996948242,2024-03-14
192.169998168945,192.350006103516,191.210006713867,191.630004882812,11035,191.630004882812,2024-03-15
190.509994506836,191.550003051758,190.389999389648,191.550003051758,13616,191.550003051758,2024-03-18
191.589996337891,191.889999389648,191,191.220001220703,19281,191.220001220703,2024-03-19
191.610000610352,192.550003051758,191.309997558594,191.539993286133,8952,191.539993286133,2024-03-20
194.679992675781,195.369995117188,192.350006103516,193.440002441406,20629,193.440002441406,2024-03-21
193.289993286133,194.220001220703,193.089996337891,193.289993286133,20770,193.289993286133,2024-03-22
193.309997558594,194,193.100006103516,193.729995727539,13282,193.729995727539,2024-03-25
193.309997558594,195.440002441406,193.220001220703,193.960006713867,13608,193.960006713867,2024-03-26
194.460006713867,195.800003051758,193.960006713867,195.5,21144,195.5,2024-03-27
195.860000610352,198.259994506836,195.75,198.259994506836,17551,198.259994506836,2024-03-28
202.660003662109,203.75,201.649993896484,201.649993896484,39751,201.649993896484,2024-04-02
204.089996337891,204.300003051758,202.940002441406,203.610000610352,22883,203.610000610352,2024-04-03
204.309997558594,204.399993896484,202.75,203.419998168945,21064,203.419998168945,2024-04-04
203.149993896484,207.220001220703,203.070007324219,207.080001831055,27757,207.080001831055,2024-04-05
207.910003662109,208.710006713867,206.229995727539,207.070007324219,28584,207.070007324219,2024-04-08
208.479995727539,210.050003051758,208.229995727539,208.699996948242,20477,208.699996948242,2024-04-09
209.429992675781,210.990005493164,207.800003051758,210.080001831055,20563,210.080001831055,2024-04-10
210,210.949996948242,208.960006713867,210.669998168945,14231,210.669998168945,2024-04-11
216.149993896484,220.479995727539,216.089996337891,217.050003051758,42376,217.050003051758,2024-04-12
213.130004882812,213.850006103516,211.009994506836,212.990005493164,40542,212.990005493164,2024-04-15
215.770004272461,217.089996337891,214.5,216.419998168945,30230,216.419998168945,2024-04-16
216.020004272461,217.210006713867,215.789993286133,216.220001220703,14539,216.220001220703,2024-04-17
214.919998168945,216.369995117188,214.380004882812,215.580001831055,39143,215.580001831055,2024-04-18
216.539993286133,216.889999389648,214.800003051758,216.369995117188,19226,216.369995117188,2024-04-19
213.110000610352,213.919998168945,211.369995117188,211.550003051758,33572,211.550003051758,2024-04-22
208.550003051758,210.130004882812,207.350006103516,209.419998168945,44717,209.419998168945,2024-04-23
209.610000610352,210.800003051758,208.610000610352,210.139999389648,18108,210.139999389648,2024-04-24
208.910003662109,211,208.830001831055,209.949996948242,17459,209.949996948242,2024-04-25
210.330001831055,211.410003662109,210.210006713867,210.669998168945,12340,210.669998168945,2024-04-26
209.850006103516,210.990005493164,209.669998168945,210.410003662109,17990,210.410003662109,2024-04-29
209.190002441406,209.229995727539,206.889999389648,207.380004882812,20371,207.380004882812,2024-04-30
208.339996337891,208.410003662109,206.339996337891,207.220001220703,27313,207.220001220703,2024-05-02
206.669998168945,207,204.089996337891,205.360000610352,13205,205.360000610352,2024-05-03
207.389999389648,208.490005493164,207.139999389648,207.830001831055,46856,207.830001831055,2024-05-06
207.940002441406,208.149993896484,207,207.279998779297,19308,207.279998779297,2024-05-07
207.779998779297,208.199996948242,207,208.149993896484,9773,208.149993896484,2024-05-08
207.940002441406,209.279998779297,207.330001831055,208.850006103516,12045,208.850006103516,2024-05-09
211.979995727539,212.779998779297,211.270004272461,211.740005493164,13267,211.740005493164,2024-05-10
210.289993286133,210.490005493164,208.630004882812,208.630004882812,12590,208.630004882812,2024-05-13
209.070007324219,210.059997558594,208.850006103516,209.869995117188,13858,209.869995117188,2024-05-14
210.199996948242,211.779998779297,209.320007324219,211.440002441406,16601,211.440002441406,2024-05-15
211.740005493164,212.160003662109,210.529998779297,211.490005493164,13193,211.490005493164,2024-05-16
211.809997558594,214.360000610352,211.669998168945,213.550003051758,9956,213.550003051758,2024-05-17
216.470001220703,217.100006103516,214,215.240005493164,19782,215.240005493164,2024-05-20
214.070007324219,216.130004882812,214.070007324219,215.850006103516,14412,215.850006103516,2024-05-21
214.619995117188,215.130004882812,212.160003662109,212.720001220703,13261,212.720001220703,2024-05-22
210.479995727539,210.880004882812,208.5,209,32707,209,2024-05-23
208.5,210.559997558594,207.449996948242,207.479995727539,35639,207.479995727539,2024-05-24
208,209.539993286133,207.839996337891,209.259994506836,23917,209.259994506836,2024-05-27
207.949996948242,209.529998779297,207.539993286133,208.940002441406,15708,208.940002441406,2024-05-28
209.360000610352,209.380004882812,207.759994506836,208.679992675781,5799,208.679992675781,2024-05-29
208.610000610352,209.300003051758,207.910003662109,208.360000610352,6780,208.360000610352,2024-05-30
208.929992675781,209.380004882812,207.050003051758,207.050003051758,13415,207.050003051758,2024-05-31
206.520004272461,208,206.449996948242,207.729995727539,13667,207.729995727539,2024-06-03
207.520004272461,207.619995117188,205.399993896484,206.179992675781,13088,206.179992675781,2024-06-04
206.929992675781,209.990005493164,206.5,208.699996948242,10599,208.699996948242,2024-06-05
209.759994506836,210.389999389648,208.75,210.389999389648,8889,210.389999389648,2024-06-06
210.339996337891,210.520004272461,205.5,206.279998779297,19416,206.279998779297,2024-06-07
205.699996948242,207.139999389648,205.5,206.889999389648,14604,206.889999389648,2024-06-10
206.389999389648,208.520004272461,206.25,207.779998779297,10867,207.779998779297,2024-06-11
207.889999389648,208.539993286133,206.5,207.490005493164,8900,207.490005493164,2024-06-12
206.589996337891,207.669998168945,206.080001831055,206.949996948242,17016,206.949996948242,2024-06-13
207.919998168945,210.940002441406,207.919998168945,209.759994506836,14736,209.759994506836,2024-06-14
209.029998779297,209.5,208.649993896484,208.639999389648,8610,208.639999389648,2024-06-17
208.399993896484,210,207.490005493164,208.630004882812,8969,208.630004882812,2024-06-18
209.509994506836,209.699996948242,208.630004882812,209,6081,209,2024-06-19
210.570007324219,212.770004272461,209.779998779297,211.830001831055,9726,211.830001831055,2024-06-20
212.399993896484,213.800003051758,209.820007324219,210,17534,210,2024-06-21
209.220001220703,210.080001831055,208.789993286133,209.550003051758,13528,209.550003051758,2024-06-24
209.190002441406,210.110000610352,208.850006103516,208.899993896484,5730,208.899993896484,2024-06-25
208.889999389648,209.119995117188,207.149993896484,207.740005493164,12982,207.740005493164,2024-06-26
207.559997558594,209.869995117188,207.449996948242,209.690002441406,12056,209.690002441406,2024-06-27
209.789993286133,210.630004882812,209.270004272461,209.440002441406,11051,209.440002441406,2024-06-28
208.339996337891,210.479995727539,208.160003662109,209.300003051758,16810,209.300003051758,2024-07-01
209.479995727539,209.860000610352,208.449996948242,209.080001831055,10595,209.080001831055,2024-07-02
209.919998168945,211.289993286133,209.660003662109,210.940002441406,8857,210.940002441406,2024-07-03
210.440002441406,210.830001831055,210.190002441406,210.190002441406,9365,210.190002441406,2024-07-04
210.679992675781,212.520004272461,209.5,212.479995727539,26537,212.479995727539,2024-07-05
211.929992675781,212,210.779998779297,210.779998779297,20744,210.779998779297,2024-07-08
210.520004272461,210.979995727539,209.800003051758,210.190002441406,15074,210.190002441406,2024-07-09
211.5,212.649993896484,211.360000610352,211.910003662109,12561,211.910003662109,2024-07-10
211.940002441406,215,211.360000610352,214.889999389648,20018,214.889999389648,2024-07-11
213.429992675781,213.529998779297,211.940002441406,213.110000610352,16846,213.110000610352,2024-07-12
212.809997558594,215.429992675781,212.759994506836,215.050003051758,20252,215.050003051758,2024-07-15
215.520004272461,218.100006103516,215.320007324219,217.990005493164,15338,217.990005493164,2024-07-16
218.289993286133,219.039993286133,217,217.229995727539,17006,217.229995727539,2024-07-17
218.070007324219,218.339996337891,217.199996948242,217.880004882812,8822,217.880004882812,2024-07-18
214.520004272461,215.539993286133,212.160003662109,213,17339,213,2024-07-19
212.809997558594,213.259994506836,211.300003051758,211.679992675781,15646,211.679992675781,2024-07-22
211.710006713867,214,211.710006713867,213.570007324219,11308,213.570007324219,2024-07-23
214.839996337891,216,214.5,215.600006103516,21429,215.600006103516,2024-07-24
211.130004882812,211.720001220703,209.75,210.089996337891,21718,210.089996337891,2024-07-25
